player_id,name,nationality,position,team_name,minutes,appearances,goals,assists,shots_total,shots_on,passes_total,passes_key,avg_minutes_played,shots_per_game,conversion_rate,position_encoded
1093,E. Mwepu,Zambia,Midfielder,Brighton,1208,24,2,5,18,9,460,12,50.333,0.75,0.111,0
18804,T. Cleverley,England,Midfielder,Watford,1623,28,0,2,8,7,596,20,57.964,0.286,0.0,0
18826,M. Noble,England,Midfielder,West Ham,326,11,1,0,2,2,297,1,29.636,0.182,0.5,0
18849,J. McArthur,Scotland,Midfielder,Crystal Palace,1488,25,0,3,5,3,961,16,59.52,0.2,0.0,0
18956,S. Long,Republic of Ireland,Attacker,Southampton,301,13,1,0,6,5,71,2,23.154,0.462,0.167,1
18977,D. Stephens,England,Midfielder,Burnley,122,3,0,0,1,0,57,1,40.667,0.333,0.0,0
314661,J. Danns,England,Attacker,Liverpool,17,3,0,0,0,0,8,0,5.667,0.0,0.0,1
507,Thiago Alcântara,Spain,Midfielder,Liverpool,2797,44,1,4,14,7,2593,46,63.568,0.318,0.071,0
630,F. Delph,England,Midfielder,Everton,665,11,0,0,0,0,306,4,60.455,0.0,0.0,0
2991,C. Kouyaté,Senegal,Midfielder,Crystal Palace,3061,60,1,1,16,6,1117,13,51.017,0.267,0.062,0
18769,T. Walcott,England,Attacker,Southampton,1514,29,2,2,19,8,321,16,52.207,0.655,0.105,1
18777,M. Albrighton,England,Midfielder,Leicester,1359,23,2,2,5,2,540,17,59.087,0.217,0.4,0
18874,D. Gosling,England,Midfielder,Watford,165,4,1,0,2,1,63,1,41.25,0.5,0.5,0
18925,A. Lennon,England,Midfielder,Burnley,1548,28,2,0,8,4,336,9,55.286,0.286,0.25,0
640,Fernandinho,Brazil,Midfielder,Manchester City,958,19,2,1,15,4,838,10,50.421,0.789,0.133,0
720,L. Rupp,Germany,Midfielder,Norwich,762,19,0,0,8,2,384,9,40.105,0.421,0.0,0
1276,S. Kalu,Nigeria,Attacker,Watford,221,4,0,0,4,1,61,1,55.25,1.0,0.0,1
18808,T. Deeney,England,Attacker,Watford,23,2,0,0,2,0,7,1,11.5,1.0,0.0,1
44928,S. McKinstry,Scotland,Midfielder,Leeds,3,1,0,0,0,0,3,0,3.0,0.0,0.0,0
295,A. Lallana,England,Midfielder,Brighton,3500,79,2,5,32,11,2021,41,44.304,0.405,0.062,0
935,Rodrigo,Spain,Attacker,Leeds,4215,62,19,2,81,45,1389,55,67.984,1.306,0.235,1
2699,S. Ghoddos,Iran,Attacker,Brentford,1381,51,2,1,12,6,627,19,27.078,0.235,0.167,1
18834,A. Yarmolenko,Ukraine,Midfielder,West Ham,299,19,1,0,10,5,101,4,15.737,0.526,0.1,0
18981,J. Locadia,Curaçao,Attacker,Brighton,22,1,0,0,1,0,1,0,22.0,1.0,0.0,1
20557,I. Diallo,France,Midfielder,Southampton,1833,41,0,2,11,4,843,20,44.707,0.268,0.0,0
31023,J. Kucka,Slovakia,Midfielder,Watford,1923,26,1,1,35,11,678,10,73.962,1.346,0.029,0
305,D. Origi,Belgium,Attacker,Liverpool,724,27,3,1,18,9,168,7,26.815,0.667,0.167,1
1452,Mohamed Elneny,Egypt,Midfielder,Arsenal,934,22,0,2,7,3,665,9,42.455,0.318,0.0,0
2860,K. Sema,Sweden,Midfielder,Watford,844,18,0,0,1,1,188,12,46.889,0.056,0.0,0
18852,L. Milivojević,Serbia,Midfielder,Crystal Palace,1279,33,0,0,9,0,702,13,38.758,0.273,0.0,0
18881,J. King,Norway,Attacker,Watford,2250,32,5,3,39,17,499,35,70.312,1.219,0.128,1
18922,J. Cork,England,Midfielder,Burnley,1699,24,1,0,4,2,596,6,70.792,0.167,0.25,0
18924,J. Hendrick,Republic of Ireland,Midfielder,Newcastle,70,3,1,0,1,1,29,1,23.333,0.333,1.0,0
18930,M. Vydra,Czechia,Attacker,Burnley,666,22,2,3,15,7,102,6,30.273,0.682,0.133,1
153261,N. Young-Coombes,England,Attacker,Brentford,3,1,0,0,0,0,0,0,3.0,0.0,0.0,1
174,C. Eriksen,Denmark,Midfielder,Brentford,5195,84,4,16,58,27,3346,125,61.845,0.69,0.069,0
2289,Jorginho,Italy,Midfielder,Chelsea,6032,100,8,6,24,9,4593,50,60.32,0.24,0.333,0
2678,Diogo Jota,Portugal,Attacker,Liverpool,5848,104,38,14,163,77,1798,91,56.231,1.567,0.233,1
18788,J. Vardy,England,Attacker,Leicester,6498,97,27,10,119,67,877,52,66.99,1.227,0.227,1
18945,S. Armstrong,Scotland,Midfielder,Southampton,2873,57,4,1,39,16,1320,43,50.404,0.684,0.103,0
19251,A. Fletcher,England,Attacker,Watford,27,3,0,0,2,1,6,0,9.0,0.667,0.0,1
19195,A. El Ghazi,Netherlands,Attacker,Everton,394,11,1,2,14,6,206,10,35.818,1.273,0.071,1
138793,H. White,England,Midfielder,Tottenham,4,1,0,0,0,0,5,0,4.0,0.0,0.0,0
162446,L. Bate,England,Midfielder,Leeds,146,3,0,0,1,0,61,0,48.667,0.333,0.0,0
284408,S. Perkins,England,Attacker,West Ham,3,1,0,0,0,0,1,0,3.0,0.0,0.0,1
17676,L. McCarron,Scotland,Midfielder,Leeds,9,1,0,0,0,0,2,0,9.0,0.0,0.0,0
18853,J. Riedewald,Netherlands,Midfielder,Crystal Palace,403,18,0,0,2,0,202,2,22.389,0.111,0.0,0
19831,T. Fosu,Ghana,Attacker,Brentford,16,1,0,0,1,1,6,0,16.0,1.0,0.0,1
154807,Daniel Chesters,England,Midfielder,West Ham,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
158432,C. Campbell,Wales,Midfielder,Wolves,81,6,0,0,2,0,37,0,13.5,0.333,0.0,0
162493,M. Craig,Scotland,Midfielder,Tottenham,13,1,0,0,0,0,6,0,13.0,0.0,0.0,0
76,M. Nakamba,Zimbabwe,Midfielder,Aston Villa,2037,29,0,0,8,0,1214,16,70.241,0.276,0.0,0
19362,J. Dasilva,England,Midfielder,Brentford,1654,48,4,2,11,6,672,17,34.458,0.229,0.364,0
20110,S. Baptiste,Grenada,Midfielder,Brentford,1733,55,2,2,11,7,663,23,31.509,0.2,0.182,0
286764,Kaide Gordon,England,Attacker,Liverpool,8,2,0,0,1,1,5,0,4.0,0.5,0.0,1
48,Saúl,Spain,Midfielder,Chelsea,477,10,0,0,3,1,325,3,47.7,0.3,0.0,0
18904,J. Shelvey,England,Midfielder,Newcastle,2561,35,2,1,25,14,951,16,73.171,0.714,0.08,0
18946,M. Elyounoussi,Norway,Midfielder,Southampton,4225,63,5,3,57,30,1185,46,67.063,0.905,0.088,0
19085,T. Pukki,Finland,Attacker,Norwich,3261,37,11,3,51,27,524,27,88.135,1.378,0.216,1
19139,T. Roberts,Wales,Attacker,Leeds,974,23,1,1,25,13,280,15,42.348,1.087,0.04,1
278064,T. Springett,England,Attacker,Norwich,140,3,0,0,1,1,36,2,46.667,0.333,0.0,1
172,D. Alli,England,Midfielder,Everton,1025,23,1,0,2,0,311,16,44.565,0.087,0.5,0
548,H. Ziyech,Morocco,Midfielder,Chelsea,1969,41,4,6,44,22,948,46,48.024,1.073,0.091,0
2664,Trézéguet,Egypt,Attacker,Aston Villa,10,1,0,0,0,0,6,0,10.0,0.0,0.0,1
2790,J. Guðmunds­son,Iceland,Midfielder,Burnley,2294,44,1,4,24,11,756,43,52.136,0.545,0.042,0
18854,A. Townsend,England,Attacker,Everton,2666,48,4,5,27,17,742,49,55.542,0.562,0.148,1
18957,M. Obafemi,Republic of Ireland,Attacker,Southampton,19,2,0,0,2,0,5,0,9.5,1.0,0.0,1
19134,P. Bamford,England,Attacker,Leeds,2081,37,6,4,52,22,430,17,56.243,1.405,0.115,1
19166,D. Gayle,England,Attacker,Newcastle,30,8,0,0,2,0,16,2,3.75,0.25,0.0,1
53525,M. Normann,Norway,Midfielder,Norwich,1652,23,1,2,20,5,747,13,71.826,0.87,0.05,0
138906,J. White,England,Midfielder,Newcastle,9,4,0,0,0,0,12,0,2.25,0.0,0.0,0
178,Lucas Moura,Brazil,Attacker,Tottenham,1912,49,3,6,30,13,800,39,39.02,0.612,0.1,1
326,Allan,Brazil,Midfielder,Everton,2188,28,0,2,4,3,958,15,78.143,0.143,0.0,0
645,R. Sterling,England,Attacker,Manchester City,6509,106,27,16,120,68,2472,122,61.406,1.132,0.225,1
900,J. Lingard,England,Midfielder,Manchester United,1283,33,2,0,11,8,427,19,38.879,0.333,0.182,0
18819,M. Antonio,Jamaica,Attacker,West Ham,7368,109,22,14,123,60,1342,78,67.596,1.128,0.179,1
18948,N. Redmond,England,Midfielder,Southampton,1963,40,1,5,15,9,738,38,49.075,0.375,0.067,0
18949,Oriol Romeu,Spain,Midfielder,Southampton,2974,37,2,2,18,4,1702,37,80.378,0.486,0.111,0
19268,J. Brownhill,England,Midfielder,Burnley,5201,68,6,5,42,20,2152,74,76.485,0.618,0.143,0
19772,A. Connolly,Republic of Ireland,Attacker,Brighton,154,4,0,0,1,0,19,1,38.5,0.25,0.0,1
305819,Kayky,Brazil,Attacker,Manchester City,6,1,0,0,0,0,2,0,6.0,0.0,0.0,1
18762,T. Davies,England,Midfielder,Everton,976,34,1,0,12,5,403,3,28.706,0.353,0.083,0
18803,N. Chalobah,England,Midfielder,Watford,10,4,0,0,1,1,5,0,2.5,0.25,0.0,0
18955,D. Ings,England,Attacker,Aston Villa,4155,100,17,8,95,55,871,44,41.55,0.95,0.179,1
19136,J. Clarke,England,Attacker,Tottenham,1172,32,0,4,9,2,370,28,36.625,0.281,0.0,1
40774,P. Płacheta,Poland,Midfielder,Norwich,504,12,0,0,7,7,132,4,42.0,0.583,0.0,0
126791,N. Broadhead,Wales,Attacker,Everton,696,18,2,0,9,8,216,7,38.667,0.5,0.222,1
138931,J. Philogene,England,Attacker,Aston Villa,806,23,2,0,12,0,168,2,35.043,0.522,0.167,1
283290,K. McAteer,England,Midfielder,Leicester,853,19,1,1,12,7,219,9,44.895,0.632,0.083,0
284428,O. Hutchinson,Jamaica,Attacker,Arsenal,2616,32,3,2,28,19,799,32,81.75,0.875,0.107,1
639,T. Richards,England,Midfielder,Brighton,23,2,0,0,0,0,27,1,11.5,0.0,0.0,0
18820,C. Coventry,Republic of Ireland,Midfielder,West Ham,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
18899,I. Hayden,England,Midfielder,Newcastle,1003,14,1,0,3,1,332,2,71.643,0.214,0.333,0
19072,T. Cantwell,England,Midfielder,Norwich,441,8,0,0,4,0,151,2,55.125,0.5,0.0,0
19127,A. Forshaw,England,Midfielder,Leeds,2006,34,0,1,10,4,1048,21,59.0,0.294,0.0,0
19169,J. Rodríguez,England,Attacker,Burnley,2185,50,4,3,47,19,517,16,43.7,0.94,0.085,1
19569,J. Gelhardt,England,Attacker,Leeds,934,35,2,4,21,12,224,11,26.686,0.6,0.095,1
179,M. Sissoko,France,Midfielder,Watford,3221,36,2,0,0,0,0,0,89.472,0.0,inf,0
1424,E. Kayembe,Congo DR,Midfielder,Watford,800,13,0,0,3,0,433,6,61.538,0.231,0.0,0
18785,N. Mendy,Senegal,Midfielder,Leicester,1783,33,1,0,3,2,1054,3,54.03,0.091,0.333,0
18873,R. Fraser,Scotland,Midfielder,Newcastle,2087,43,2,3,21,10,576,32,48.535,0.488,0.095,0
19484,A. Armstrong,England,Attacker,Southampton,4002,73,6,5,70,35,857,33,54.822,0.959,0.086,1
21100,I. Louza,Morocco,Midfielder,Watford,1422,20,0,0,11,4,650,15,71.1,0.55,0.0,0
130421,W. Smallbone,Republic of Ireland,Midfielder,Southampton,815,22,1,0,4,1,346,11,37.045,0.182,0.25,0
137302,C. Archer,England,Attacker,Aston Villa,3338,74,6,0,44,22,519,10,45.108,0.595,0.136,1
278085,S. Edozie,England,Midfielder,Manchester City,622,19,0,0,4,3,181,9,32.737,0.211,0.0,0
304317,T. Dibling,England,Midfielder,Southampton,1872,33,2,0,20,9,585,20,56.727,0.606,0.1,0
18781,D. Gray,Jamaica,Attacker,Everton,4864,67,9,5,77,41,1291,79,72.597,1.149,0.117,1
18843,J. Schlupp,Ghana,Midfielder,Crystal Palace,5840,107,9,4,60,31,1861,59,54.579,0.561,0.15,0
18903,M. Ritchie,Scotland,Midfielder,Newcastle,1482,38,1,2,11,5,619,30,39.0,0.289,0.091,0
19077,K. McLean,Scotland,Midfielder,Norwich,2706,31,1,0,19,6,1035,10,87.29,0.613,0.053,0
25332,J. Sargent,USA,Attacker,Norwich,1578,26,2,1,11,3,393,11,60.692,0.423,0.182,1
138786,E. Simms,England,Attacker,Everton,283,12,1,0,4,1,73,2,23.583,0.333,0.25,1
144732,T. Doyle,England,Midfielder,Manchester City,1683,50,0,1,18,5,1281,15,33.66,0.36,0.0,0
149564,L. Cundle,England,Midfielder,Wolves,179,4,0,0,0,0,103,2,44.75,0.0,0.0,0
153425,L. Dobbin,England,Attacker,Everton,251,15,1,0,5,2,62,4,16.733,0.333,0.2,1
180,O. Skipp,England,Midfielder,Tottenham,4660,86,1,0,14,7,2965,44,54.186,0.163,0.071,0
182,H. Winks,England,Midfielder,Tottenham,2444,41,0,3,11,5,1656,29,59.61,0.268,0.0,0
1098,P. Daka,Zambia,Attacker,Leicester,3062,76,10,7,54,36,632,31,40.289,0.711,0.185,1
3428,J. Ayew,Ghana,Attacker,Crystal Palace,8958,135,16,13,80,39,2319,80,66.356,0.593,0.2,1
18779,H. Choudhury,England,Midfielder,Leicester,416,10,0,0,1,0,225,2,41.6,0.1,0.0,0
19363,M. Forss,Finland,Attacker,Brentford,203,7,0,1,2,0,36,1,29.0,0.286,0.0,1
22233,B. Soumaré,France,Midfielder,Leicester,4906,76,0,1,11,2,2655,28,64.553,0.145,0.0,0
284267,I. Price,Northern Ireland,Midfielder,Everton,44,2,0,0,1,0,15,1,22.0,0.5,0.0,0
274,E. Cavani,Uruguay,Attacker,Manchester United,762,15,2,1,14,8,230,7,50.8,0.933,0.143,1
671,B. Traoré,Burkina Faso,Attacker,Aston Villa,222,11,0,0,8,4,149,1,20.182,0.727,0.0,1
901,Mata,Spain,Midfielder,Manchester United,232,7,0,0,3,1,208,2,33.143,0.429,0.0,0
908,A. Martial,France,Attacker,Manchester United,1632,42,8,2,31,20,539,19,38.857,0.738,0.258,1
2294,Willian,Brazil,Attacker,Arsenal,4203,58,9,7,60,36,2093,103,72.466,1.034,0.15,1
2473,M. Lanzini,Argentina,Midfielder,West Ham,2032,40,6,3,14,8,1375,24,50.8,0.35,0.429,0
18902,Kenedy,Brazil,Midfielder,Chelsea,59,1,0,1,0,0,46,2,59.0,0.0,0.0,0
22173,A. Saint-Maximin,France,Attacker,Newcastle,3928,60,6,10,65,39,1080,81,65.467,1.083,0.092,1
25416,W. Weghorst,Netherlands,Attacker,Burnley,2253,37,2,4,36,14,633,28,60.892,0.973,0.056,1
162189,M. Bidstrup,Denmark,Midfielder,Brentford,37,4,0,0,0,0,13,0,9.25,0.0,0.0,0
163054,S. Shoretire,England,Attacker,Manchester United,15,1,0,0,0,0,5,0,15.0,0.0,0.0,1
662,T. Ndombélé,France,Midfielder,Tottenham,486,9,1,1,5,3,264,4,54.0,0.556,0.2,0
897,M. Greenwood,England,Attacker,Manchester United,1281,18,5,1,38,19,463,17,71.167,2.111,0.132,1
1101,T. Minamino,Japan,Midfielder,Liverpool,176,11,3,0,5,4,68,2,16.0,0.455,0.6,0
1465,P. Aubameyang,Gabon,Attacker,Arsenal,1590,29,5,1,38,25,302,13,54.828,1.31,0.132,1
1914,M. Sanson,France,Midfielder,Aston Villa,361,12,0,0,1,0,160,1,30.083,0.083,0.0,0
2735,P. Højbjerg,Denmark,Midfielder,Tottenham,7619,107,6,7,55,26,6170,65,71.206,0.514,0.109,0
3240,J. Gbamin,Côte d'Ivoire,Midfielder,Everton,66,3,0,0,0,0,22,0,22.0,0.0,0.0,0
19364,N. Maupay,France,Attacker,Brighton,4815,90,15,8,94,47,1347,55,53.5,1.044,0.16,1
22170,P. Lees-Melou,France,Midfielder,Norwich,2271,33,1,0,22,9,990,25,68.818,0.667,0.045,0
40911,J. Moder,Poland,Midfielder,Brighton,2321,49,0,3,25,9,1068,24,47.367,0.51,0.0,0
138835,F. Balogun,USA,Attacker,Arsenal,70,2,0,0,3,0,9,0,35.0,1.5,0.0,1
278095,J. Rowe,England,Attacker,Norwich,210,13,0,1,3,2,66,5,16.154,0.231,0.0,1
842,N. Vlašić,Croatia,Midfielder,West Ham,553,19,1,0,4,3,203,9,29.105,0.211,0.25,0
877,M. Kean,Italy,Attacker,Everton,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1
902,N. Matić,Serbia,Midfielder,Manchester United,1383,23,0,4,5,1,1038,14,60.13,0.217,0.0,0
904,P. Pogba,France,Midfielder,Manchester United,1353,20,1,9,23,8,877,24,67.65,1.15,0.043,0
1456,A. Maitland-Niles,England,Midfielder,Arsenal,1667,30,0,0,3,2,1383,23,55.567,0.1,0.0,0
18765,André Gomes,Portugal,Midfielder,Everton,1121,26,1,1,13,8,535,8,43.115,0.5,0.077,0
18767,A. Lookman,Nigeria,Attacker,Leicester,1456,26,6,0,16,12,507,23,56.0,0.615,0.375,1
19524,C. Adams,Scotland,Attacker,Southampton,4040,58,12,6,75,39,942,50,69.655,1.293,0.16,1
162590,T. Morton,England,Midfielder,Liverpool,66,2,0,0,0,0,35,0,33.0,0.0,0.0,0
17,C. Pulišić,USA,Midfielder,Chelsea,2097,46,7,3,36,17,713,27,45.587,0.783,0.194,0
294,N. Keïta,Guinea,Midfielder,Liverpool,1466,31,3,1,19,7,907,23,47.29,0.613,0.158,0
629,K. De Bruyne,Belgium,Midfielder,Manchester City,7564,108,30,41,170,87,4537,303,70.037,1.574,0.176,0
903,S. McTominay,Scotland,Midfielder,Manchester United,5449,88,9,2,59,32,2310,42,61.92,0.67,0.153,0
907,R. Lukaku,Belgium,Attacker,Chelsea,1584,26,8,0,28,15,317,24,60.923,1.077,0.286,1
983,L. Bailey,Jamaica,Midfielder,Aston Villa,5954,110,16,17,96,46,1682,106,54.127,0.873,0.167,0
1166,T. Werner,Germany,Attacker,Chelsea,2608,52,6,7,54,26,893,33,50.154,1.038,0.111,1
1234,A. Král,Czechia,Midfielder,West Ham,0,1,0,0,0,0,2,0,0.0,0.0,0.0,0
2292,R. Loftus-Cheek,England,Midfielder,Chelsea,2929,49,0,3,17,8,1810,35,59.776,0.347,0.0,0
19185,K. Davis,England,Attacker,Aston Villa,11,1,0,0,0,0,3,0,11.0,0.0,0.0,1
129643,E. Ferguson,Republic of Ireland,Attacker,Brighton,2723,68,13,2,67,41,641,23,40.044,0.985,0.194,1
130423,B. Gilmour,Scotland,Midfielder,Norwich,4587,70,0,4,29,10,4072,51,65.529,0.414,0.0,0
231029,N. Tella,England,Attacker,Southampton,809,14,0,1,9,5,161,7,57.786,0.643,0.0,1
184,H. Kane,England,Attacker,Tottenham,6640,75,47,12,197,118,1725,110,88.533,2.627,0.239,1
547,D. van de Beek,Netherlands,Midfielder,Everton,716,23,2,0,7,2,544,8,31.13,0.304,0.286,0
2461,S. Rondón,Venezuela,Attacker,Everton,886,27,1,1,18,7,214,10,32.815,0.667,0.056,1
2489,L. Díaz,Colombia,Attacker,Liverpool,7017,103,29,15,157,83,2730,154,68.126,1.524,0.185,1
2778,K. Ịheanachọ,Nigeria,Attacker,Leicester,2380,54,9,10,56,26,654,39,44.074,1.037,0.161,1
2922,L. Dendoncker,Belgium,Midfielder,Wolves,2959,62,3,2,23,11,1430,21,47.726,0.371,0.13,0
18970,P. Groß,Germany,Midfielder,Brighton,8403,102,15,22,78,48,6065,247,82.382,0.765,0.192,0
19617,M. Olise,France,Midfielder,Crystal Palace,5169,82,14,22,80,45,2311,132,63.037,0.976,0.175,0
67972,C. Gallagher,England,Midfielder,Crystal Palace,7602,106,16,11,94,51,3788,112,71.717,0.887,0.17,0
129791,Fábio Silva,Portugal,Attacker,Wolves,822,30,0,0,20,9,211,7,27.4,0.667,0.0,1
138935,C. Chukwuemeka,England,Midfielder,Aston Villa,861,35,1,2,7,5,653,22,24.6,0.2,0.143,0
49,T. Partey,Ghana,Midfielder,Arsenal,8103,106,9,3,74,25,5612,68,76.443,0.698,0.122,0
909,M. Rashford,England,Attacker,Manchester United,7824,118,34,13,165,97,2124,90,66.305,1.398,0.206,1
931,Ferran Torres,Spain,Attacker,Manchester City,305,4,2,1,8,4,70,1,76.25,2.0,0.25,1
1496,Raphinha,Brazil,Attacker,Leeds,2922,35,11,3,62,25,1074,67,83.486,1.771,0.177,1
1578,G. Lo Celso,Argentina,Midfielder,Tottenham,728,31,2,2,17,7,633,23,23.484,0.548,0.118,0
1697,Pablo Fornals,Spain,Midfielder,West Ham,4724,83,9,4,58,22,2217,73,56.916,0.699,0.155,0
3246,N. Pépé,Côte d'Ivoire,Attacker,Arsenal,681,20,1,2,18,9,319,12,34.05,0.9,0.056,1
18906,Ayoze Pérez,Spain,Attacker,Leicester,823,22,2,4,14,8,302,22,37.409,0.636,0.143,1
19352,Sergi Canós,Spain,Midfielder,Brentford,2166,36,3,2,24,13,705,19,60.167,0.667,0.125,0
47582,C. Hernández,Colombia,Attacker,Watford,1139,25,5,2,24,11,337,20,45.56,0.96,0.208,1
2287,R. Barkley,England,Midfielder,Chelsea,3364,58,9,5,67,29,1922,64,58.0,1.155,0.134,0
2926,Y. Tielemans,Belgium,Midfielder,Leicester,9636,131,14,19,92,46,6101,149,73.557,0.702,0.152,0
19071,E. Buendía,Argentina,Midfielder,Aston Villa,4409,85,9,8,65,25,1903,91,51.871,0.765,0.138,0
19191,J.  McGinn,Scotland,Midfielder,Aston Villa,11032,138,11,15,112,48,4144,147,79.942,0.812,0.098,0
19192,J. Ramsey,England,Midfielder,Aston Villa,7602,114,14,12,74,33,2758,96,66.684,0.649,0.189,0
19366,O. Watkins,England,Attacker,Aston Villa,11929,147,61,29,275,166,2228,136,81.15,1.871,0.222,1
24888,Hwang Hee-Chan,Korea Republic,Attacker,Wolves,5724,107,22,5,70,40,1609,46,53.495,0.654,0.314,1
723,Joelinton,Brazil,Midfielder,Newcastle,8909,116,16,6,116,57,3762,102,76.802,1.0,0.138,0
899,Andreas Pereira,Brazil,Midfielder,Manchester United,7380,103,9,17,114,48,2700,203,71.65,1.107,0.079,0
1161,E. Smith Rowe,England,Midfielder,Arsenal,4488,92,16,11,92,53,3056,88,48.783,1.0,0.174,0
1455,A. Iwobi,Nigeria,Attacker,Everton,10760,136,18,15,99,54,3524,169,79.118,0.728,0.182,1
1463,J. Willock,England,Midfielder,Newcastle,6118,105,6,8,105,46,2467,105,58.267,1.0,0.057,0
2887,R. Jiménez,Mexico,Attacker,Wolves,7388,111,25,8,195,92,2300,93,66.559,1.757,0.128,1
10135,Bruno Guimarães,Brazil,Midfielder,Newcastle,10322,124,21,20,106,51,6155,170,83.242,0.855,0.198,0
18753,Adama Traoré,Spain,Attacker,Wolves,4676,107,7,11,61,32,1303,92,43.701,0.57,0.115,1
18778,H. Barnes,England,Midfielder,Leicester,7372,120,33,18,157,91,2233,87,61.433,1.308,0.21,0
19032,R. Sessegnon,England,Midfielder,Tottenham,2443,48,6,4,26,15,825,32,50.896,0.542,0.231,0
19163,J. Murphy,England,Midfielder,Newcastle,6272,125,16,22,95,40,2099,112,50.176,0.76,0.168,0
138787,A. Gordon,England,Attacker,Everton,9213,136,25,17,161,100,2850,161,67.743,1.184,0.155,1
153430,A. Elanga,Sweden,Attacker,Manchester United,6580,111,13,32,148,81,2455,131,59.279,1.333,0.088,1
665,M. Cornet,Côte d'Ivoire,Attacker,Burnley,2188,49,10,1,48,25,551,20,44.653,0.98,0.208,1
1243,T. Souček,Czechia,Midfielder,West Ham,11329,143,23,7,140,58,4212,71,79.224,0.979,0.164,0
2938,J. Ward-Prowse,England,Midfielder,Southampton,10010,121,26,18,105,64,5542,221,82.727,0.868,0.248,0
2939,C. Wilson,England,Attacker,Newcastle,4613,87,35,6,128,72,594,44,53.023,1.471,0.273,1
19428,J. Bowen,England,Attacker,West Ham,12231,142,47,29,221,132,2751,174,86.134,1.556,0.213,1
37724,C. Summerville,Netherlands,Attacker,Leeds,2321,53,5,3,27,14,690,35,43.792,0.509,0.185,1
